 Credit reporting, 1109376, Improper use of my credit report, 
 Debt collection, 1108789, Cont'd attempts collect debt not owed, 
 Student loan, 1101634, Can't repay my loan, 
 Credit card, 1099994, Late fee, 
 Credit reporting, 1098869, Incorrect information on credit report, 
 Debt collection, 1093281, Communication tactics, 
 Credit card, 1094152, Billing disputes, 
 Debt collection, 1093282, Communication tactics, 
 Debt collection, 1092269, Disclosure verification of debt, 
 Credit card, 1090221, Other, 
 Credit card, 1090220, Other, 
 Bank account or service, 1085405, Problems caused by my funds being low, 
 Credit reporting, 1084996, Incorrect information on credit report, 
 Student loan, 1084892, Can't repay my loan, 
 Credit reporting, 1083146, Incorrect information on credit report, 
 Student loan, 1084893, Can't repay my loan, 
 Debt collection, 1082235, Disclosure verification of debt, 
 Credit reporting, 1081337, Credit reporting company's investigation, 
 Credit reporting, 1081379, Incorrect information on credit report, 
 Consumer loan, 1080535, Shopping for a loan or lease, 
 Payday loan, 1081211, Charged fees or interest I didn't expect, 
 Debt collection, 1076249, Communication tactics, 
 Debt collection, 1076248, Communication tactics, 
 Payday loan, 1073430, Applied for loan/did not receive money, 
 Credit reporting, 1071802, Incorrect information on credit report, 
 Debt collection, 1071628, Cont'd attempts collect debt not owed, 
 Bank account or service, 1068727, Deposits and withdrawals, 
 Credit reporting, 1068839, Incorrect information on credit report, 
 Bank account or service, 1068733, Deposits and withdrawals, 
 Debt collection, 1068168, Improper contact or sharing of info, 
 Mortgage, 1066254, Credit decision / Underwriting, 
 Credit card, 1067662, Delinquent account, 
 Debt collection, 1065294, Cont'd attempts collect debt not owed, 
 Bank account or service, 1063971, Using a debit or ATM card, 
 Bank account or service, 1063970, Problems caused by my funds being low, 
 Credit reporting, 1063341, Credit monitoring or identity protection, 
 Bank account or service, 1061763, Using a debit or ATM card, 
 Credit reporting, 1062634, Credit reporting company's investigation, 
 Credit card, 1058649, Billing disputes, 
 Credit reporting, 1060847, Incorrect information on credit report, 
 Debt collection, 1059006, Cont'd attempts collect debt not owed, 
 Credit card, 1058370, Advertising and marketing, 
 Credit reporting, 1056556, Credit reporting company's investigation, 
 Bank account or service, 1054644, Deposits and withdrawals, 
 Debt collection, 1048114, Cont'd attempts collect debt not owed, 
 Credit reporting, 1048162, Incorrect information on credit report, 
 Debt collection, 1047081, Improper contact or sharing of info, 
 Debt collection, 1047678, Cont'd attempts collect debt not owed, 
 Credit card, 1047680, Billing disputes, 
 Debt collection, 1047679, Cont'd attempts collect debt not owed, 
 Mortgage, 1046264, Settlement process and costs, 
 Mortgage, 1045104, Settlement process and costs, 
 Consumer loan, 1045374, Taking out the loan or lease, 
 Credit reporting, 1044062, Incorrect information on credit report, 
 Credit reporting, 1044061, Incorrect information on credit report, 
 Credit reporting, 1044060, Incorrect information on credit report, 
 Credit card, 1043699, Other, 
 Credit reporting, 1042180, Incorrect information on credit report, 
 Credit reporting, 1042178, Incorrect information on credit report, 
 Credit reporting, 1042179, Incorrect information on credit report, 
 Debt collection, 1038417, Disclosure verification of debt, 
 Bank account or service, 1038776, Deposits and withdrawals, 
 Debt collection, 1039762, False statements or representation, 
 Debt collection, 1039207, Communication tactics, 
 Credit card, 1035458, Payoff process, 
 Mortgage, 1031159, Settlement process and costs, 
 Credit reporting, 1028537, Incorrect information on credit report, 
 Credit card, 1028727, Billing disputes, 
 Money transfers, 1029092, Money was not available when promised, 
 Credit card, 1029671, Billing disputes, 
 Bank account or service, 1025929, Problems caused by my funds being low, 
 Debt collection, 1024508, Taking/threatening an illegal action, 
 Student loan, 1023864, Dealing with my lender or servicer, 
 Consumer loan, 1025403, Managing the loan or lease, 
 Credit card, 1022499, Billing disputes, 
 Debt collection, 1021216, Communication tactics, 
 Credit card, 1020203, Transaction issue, 
 Credit reporting, 1017766, Incorrect information on credit report, 
 Credit card, 1017514, APR or interest rate, 
 Money transfers, 1016894, Money was not available when promised, 
 Credit card, 1016989, Other, 
 Bank account or service, 1013755, Deposits and withdrawals, 
 Bank account or service, 1014417, Problems caused by my funds being low, 
 Bank account or service, 1014922, Deposits and withdrawals, 
 Student loan, 1012226, Dealing with my lender or servicer, 
 Debt collection, 1012406, Cont'd attempts collect debt not owed, 
 Money transfers, 1012913, Other transaction issues, 
 Credit card, 1010846, APR or interest rate, 
 Bank account or service, 1010782, Deposits and withdrawals, 
 Debt collection, 1009044, False statements or representation, 
 Credit card, 1007462, Billing disputes, 
 Credit reporting, 1005683, Unable to get credit report/credit score, 
 Debt collection, 1002931, Disclosure verification of debt, 
 Credit card, 1003073, Rewards, 
 Credit reporting, 1003051, Incorrect information on credit report, 
 Credit reporting, 1003050, Incorrect information on credit report, 
 Credit reporting, 1003049, Incorrect information on credit report, 
 Bank account or service, 1005625, Using a debit or ATM card, 
 Credit reporting, 1000692, Incorrect information on credit report, 
 Debt collection, 999581, Communication tactics, 
 Credit reporting, 998437, Incorrect information on credit report, 
 Money transfers, 998536, Money was not available when promised, 
 Mortgage, 996339, Credit decision / Underwriting, 
 Debt collection, 997772, Communication tactics, 
 Credit reporting, 992230, Incorrect information on credit report, 
 Credit card, 990757, Closing/Cancelling account, 
 Mortgage, 989938, Credit decision / Underwriting, 
 Debt collection, 991228, Disclosure verification of debt, 
 Credit card, 991511, Identity theft / Fraud / Embezzlement, 
 Bank account or service, 988340, Deposits and withdrawals, 
 Consumer loan, 987902, Problems when you are unable to pay, 
 Credit card, 986826, Billing disputes, 
 Student loan, 986072, Getting a loan, 
 Credit reporting, 983776, Incorrect information on credit report, 
 Credit reporting, 983777, Incorrect information on credit report, 
 Credit reporting, 981169, Improper use of my credit report, 
 Credit reporting, 978952, Incorrect information on credit report, 
 Payday loan, 978246, Charged fees or interest I didn't expect, 
 Mortgage, 978987, Settlement process and costs, 
 Credit reporting, 978309, Credit reporting company's investigation, 
 Bank account or service, 977867, Deposits and withdrawals, 
 Credit card, 977067, Privacy, 
 Debt collection, 976672, Cont'd attempts collect debt not owed, 
 Student loan, 975769, Dealing with my lender or servicer, 
 Debt collection, 974971, Cont'd attempts collect debt not owed, 
 Debt collection, 973469, Cont'd attempts collect debt not owed, 
 Credit reporting, 969625, Incorrect information on credit report, 
 Credit card, 966541, APR or interest rate, 
 Credit card, 966205, Rewards, 
 Debt collection, 966021, Improper contact or sharing of info, 
 Credit reporting, 965245, Incorrect information on credit report, 
 Credit reporting, 965296, Credit reporting company's investigation, 
 Bank account or service, 965421, Problems caused by my funds being low, 
 Credit card, 964421, Other, 
 Credit card, 960454, Rewards, 
 Credit reporting, 962266, Credit monitoring or identity protection, 
 Bank account or service, 958906, Deposits and withdrawals, 
 Credit card, 959454, Application processing delay, 
 Bank account or service, 955892, Problems caused by my funds being low, 
 Credit card, 955610, APR or interest rate, 
 Credit card, 955757, Billing disputes, 
 Bank account or service, 954648, Deposits and withdrawals, 
 Credit reporting, 951797, Unable to get credit report/credit score, 
 Credit card, 949666, Rewards, 
 Payday loan, 948436, Charged fees or interest I didn't expect, 
 Credit reporting, 948900, Incorrect information on credit report, 
 Credit reporting, 948899, Incorrect information on credit report, 
 Mortgage, 948898, Credit decision / Underwriting, 
 Consumer loan, 947569, Problems when you are unable to pay, 
 Debt collection, 947657, Cont'd attempts collect debt not owed, 
 Credit card, 948296, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 947031, Incorrect information on credit report, 
 Student loan, 946827, Dealing with my lender or servicer, 
 Bank account or service, 944849, Deposits and withdrawals, 
 Debt collection, 945120, Cont'd attempts collect debt not owed, 
 Credit card, 945187, Billing disputes, 
 Credit reporting, 943131, Incorrect information on credit report, 
 Bank account or service, 943770, Problems caused by my funds being low, 
 Bank account or service, 944997, Deposits and withdrawals, 
 Credit reporting, 942712, Incorrect information on credit report, 
 Credit reporting, 942711, Incorrect information on credit report, 
 Mortgage, 940668, Settlement process and costs, 
 Debt collection, 940576, Communication tactics, 
 Credit reporting, 937549, Incorrect information on credit report, 
 Bank account or service, 937821, Problems caused by my funds being low, 
 Credit reporting, 936836, Incorrect information on credit report, 
 Credit reporting, 936835, Incorrect information on credit report, 
 Credit reporting, 936837, Incorrect information on credit report, 
 Debt collection, 935536, Communication tactics, 
 Student loan, 935678, Can't repay my loan, 
 Debt collection, 936025, Disclosure verification of debt, 
 Credit card, 936446, Other, 
 Debt collection, 934511, Disclosure verification of debt, 
 Credit reporting, 933485, Incorrect information on credit report, 
 Credit card, 932168, Identity theft / Fraud / Embezzlement, 
 Debt collection, 929208, Communication tactics, 
 Debt collection, 928528, Cont'd attempts collect debt not owed, 
 Credit card, 924560, Delinquent account, 
 Credit reporting, 928340, Incorrect information on credit report, 
 Debt collection, 923467, Communication tactics, 
 Debt collection, 922257, Improper contact or sharing of info, 
 Credit reporting, 922210, Incorrect information on credit report, 
 Credit reporting, 921719, Incorrect information on credit report, 
 Debt collection, 919416, Cont'd attempts collect debt not owed, 
 Credit card, 915795, Billing disputes, 
 Credit card, 913340, Other, 
 Debt collection, 911746, Communication tactics, 
 Credit card, 910323, Other, 
 Credit reporting, 909347, Incorrect information on credit report, 
 Payday loan, 909669, Charged fees or interest I didn't expect, 
 Consumer loan, 907608, Managing the loan or lease, 
 Bank account or service, 907322, Problems caused by my funds being low, 
 Debt collection, 906336, Communication tactics, 
 Debt collection, 905521, Cont'd attempts collect debt not owed, 
 Credit card, 905296, Advertising and marketing, 
 Credit reporting, 905127, Incorrect information on credit report, 
 Debt collection, 905126, Cont'd attempts collect debt not owed, 
 Debt collection, 903757, Communication tactics, 
 Student loan, 902633, Can't repay my loan, 
 Debt collection, 902906, Cont'd attempts collect debt not owed, 
 Consumer loan, 903262, Managing the line of credit, 
 Credit reporting, 899499, Incorrect information on credit report, 
 Credit reporting, 899501, Incorrect information on credit report, 
 Credit reporting, 899500, Incorrect information on credit report, 
 Credit card, 900701, Other, 
 Credit reporting, 897725, Incorrect information on credit report, 
 Credit reporting, 898349, Credit monitoring or identity protection, 
 Bank account or service, 897217, Problems caused by my funds being low, 
 Debt collection, 895821, Cont'd attempts collect debt not owed, 
 Consumer loan, 896294, Account terms and changes, 
 Debt collection, 897049, Cont'd attempts collect debt not owed, 
 Debt collection, 894793, Cont'd attempts collect debt not owed, 
 Debt collection, 894413, Improper contact or sharing of info, 
 Debt collection, 894414, Improper contact or sharing of info, 
 Debt collection, 894417, Improper contact or sharing of info, 
 Debt collection, 894416, Improper contact or sharing of info, 
 Credit reporting, 894437, Unable to get credit report/credit score, 
 Credit reporting, 891587, Credit reporting company's investigation, 
 Student loan, 890510, Can't repay my loan, 
 Credit card, 890528, Application processing delay, 
 Consumer loan, 889787, Managing the loan or lease, 
 Student loan, 888509, Dealing with my lender or servicer, 
 Credit card, 887518, Identity theft / Fraud / Embezzlement, 
 Credit card, 887863, Other fee, 
 Consumer loan, 886225, Managing the loan or lease, 
 Student loan, 887442, Can't repay my loan, 
 Consumer loan, 885588, Problems when you are unable to pay, 
 Credit reporting, 883135, Credit monitoring or identity protection, 
 Debt collection, 880107, Cont'd attempts collect debt not owed, 
 Bank account or service, 880912, Deposits and withdrawals, 
 Student loan, 879214, Dealing with my lender or servicer, 
 Credit reporting, 879490, Incorrect information on credit report, 
 Debt collection, 876411, Cont'd attempts collect debt not owed, 
 Debt collection, 876412, Cont'd attempts collect debt not owed, 
 Debt collection, 877019, False statements or representation, 
 Student loan, 877961, Dealing with my lender or servicer, 
 Money transfers, 876045, Fraud or scam, 
 Debt collection, 876096, Communication tactics, 
 Bank account or service, 873946, Deposits and withdrawals, 
 Debt collection, 872520, Taking/threatening an illegal action, 
 Debt collection, 872521, Taking/threatening an illegal action, 
 Bank account or service, 872669, Deposits and withdrawals, 
 Money transfers, 873154, Other transaction issues, 
 Credit card, 868105, Other, 
 Credit card, 867487, Customer service / Customer relations, 
 Credit card, 867639, Other, 
 Student loan, 866861, Can't repay my loan, 
 Bank account or service, 865207, Problems caused by my funds being low, 
 Student loan, 864912, Dealing with my lender or servicer, 
 Debt collection, 865096, Improper contact or sharing of info, 
 Student loan, 862902, Dealing with my lender or servicer, 
 Student loan, 862901, Dealing with my lender or servicer, 
 Mortgage, 861838, Credit decision / Underwriting, 
 Debt collection, 859866, Cont'd attempts collect debt not owed, 
 Debt collection, 857529, Communication tactics, 
 Student loan, 857177, Dealing with my lender or servicer, 
 Debt collection, 857291, Cont'd attempts collect debt not owed, 
 Credit reporting, 855754, Incorrect information on credit report, 
 Credit card, 854377, Late fee, 
 Debt collection, 851565, Communication tactics, 
 Bank account or service, 851864, Using a debit or ATM card, 
 Credit reporting, 852837, Incorrect information on credit report, 
 Debt collection, 852963, Disclosure verification of debt, 
 Debt collection, 851346, Improper contact or sharing of info, 
 Mortgage, 849646, Settlement process and costs, 
 Credit reporting, 852952, Incorrect information on credit report, 
 Payday loan, 848544, Charged fees or interest I didn't expect, 
 Debt collection, 847245, Cont'd attempts collect debt not owed, 
 Credit card, 845113, Billing disputes, 
 Bank account or service, 845647, Deposits and withdrawals, 
 Payday loan, 846058, Charged fees or interest I didn't expect, 
 Bank account or service, 844639, Deposits and withdrawals, 
 Student loan, 844896, Dealing with my lender or servicer, 
 Credit card, 839745, Billing disputes, 
 Mortgage, 840411, Credit decision / Underwriting, 
 Debt collection, 838372, Taking/threatening an illegal action, 
 Debt collection, 837617, Cont'd attempts collect debt not owed, 
 Credit card, 833304, Advertising and marketing, 
 Student loan, 834483, Dealing with my lender or servicer, 
 Credit reporting, 834627, Unable to get credit report/credit score, 
 Debt collection, 834637, Cont'd attempts collect debt not owed, 
 Debt collection, 829783, Disclosure verification of debt, 
 Debt collection, 829697, Cont'd attempts collect debt not owed, 
 Credit reporting, 830656, Incorrect information on credit report, 
 Credit reporting, 829535, Incorrect information on credit report, 
 Student loan, 828694, Dealing with my lender or servicer, 
 Debt collection, 827038, Cont'd attempts collect debt not owed, 
 Credit card, 820603, Identity theft / Fraud / Embezzlement, 
 Credit card, 823625, Transaction issue, 
 Bank account or service, 823872, Deposits and withdrawals, 
 Debt collection, 824174, Communication tactics, 
 Debt collection, 824173, Communication tactics, 
 Student loan, 824299, Dealing with my lender or servicer, 
 Debt collection, 824463, Taking/threatening an illegal action, 
 Debt collection, 823395, Cont'd attempts collect debt not owed, 
 Student loan, 821616, Dealing with my lender or servicer, 
 Bank account or service, 821804, Using a debit or ATM card, 
 Credit reporting, 820951, Incorrect information on credit report, 
 Credit card, 818671, Billing disputes, 
 Payday loan, 817579, Charged fees or interest I didn't expect, 
 Payday loan, 817581, Can't stop charges to bank account, 
 Credit reporting, 817775, Unable to get credit report/credit score, 
 Debt collection, 816738, Cont'd attempts collect debt not owed, 
 Credit card, 815237, Closing/Cancelling account, 
 Credit reporting, 815607, Unable to get credit report/credit score, 
 Student loan, 811184, Dealing with my lender or servicer, 
 Student loan, 811299, Dealing with my lender or servicer, 
 Credit reporting, 811496, Incorrect information on credit report, 
 Debt collection, 809842, Disclosure verification of debt, 
 Credit reporting, 806882, Unable to get credit report/credit score, 
 Credit reporting, 806881, Unable to get credit report/credit score, 
 Bank account or service, 806140, Deposits and withdrawals, 
 Credit reporting, 803041, Incorrect information on credit report, 
 Bank account or service, 803492, Deposits and withdrawals, 
 Debt collection, 802643, Cont'd attempts collect debt not owed, 
 Debt collection, 802642, Cont'd attempts collect debt not owed, 
 Payday loan, 801160, Charged fees or interest I didn't expect, 
 Credit card, 799660, Billing disputes, 
 Credit card, 799693, Billing disputes, 
 Debt collection, 797307, Improper contact or sharing of info, 
 Debt collection, 797306, Improper contact or sharing of info, 
 Debt collection, 795861, Communication tactics, 
 Student loan, 795688, Can't repay my loan, 
 Debt collection, 795494, False statements or representation, 
 Consumer loan, 794693, Shopping for a line of credit, 
 Bank account or service, 792873, Deposits and withdrawals, 
 Debt collection, 790870, Cont'd attempts collect debt not owed, 
 Bank account or service, 791341, Deposits and withdrawals, 
 Consumer loan, 791342, Shopping for a loan or lease, 
 Bank account or service, 791338, Deposits and withdrawals, 
 Credit reporting, 787831, Incorrect information on credit report, 
 Credit card, 785029, Billing disputes, 
 Mortgage, 779054, Settlement process and costs, 
 Bank account or service, 778385, Problems caused by my funds being low, 
 Debt collection, 773673, Cont'd attempts collect debt not owed, 
 Consumer loan, 773343, Shopping for a line of credit, 
 Credit reporting, 772659, Credit monitoring or identity protection, 
 Credit reporting, 772715, Incorrect information on credit report, 
 Student loan, 773180, Getting a loan, 
 Student loan, 763722, Dealing with my lender or servicer, 
 Credit card, 761173, Customer service / Customer relations, 
 Consumer loan, 762034, Managing the loan or lease, 
 Credit card, 760550, Billing statement, 
 Payday loan, 767722, Charged fees or interest I didn't expect, 
 Student loan, 758576, Can't repay my loan, 
 Credit reporting, 767344, Unable to get credit report/credit score, 
 Credit reporting, 757838, Unable to get credit report/credit score, 
 Credit reporting, 757839, Unable to get credit report/credit score, 
 Debt collection, 756183, Communication tactics, 
 Credit card, 754348, Closing/Cancelling account, 
 Credit card, 757705, Other, 
 Bank account or service, 755203, Deposits and withdrawals, 
 Bank account or service, 760137, Deposits and withdrawals, 
 Debt collection, 754064, Cont'd attempts collect debt not owed, 
 Bank account or service, 752203, Deposits and withdrawals, 
 Credit reporting, 759918, Incorrect information on credit report, 
 Student loan, 762600, Dealing with my lender or servicer, 
 Student loan, 748939, Dealing with my lender or servicer, 
 Debt collection, 744161, Communication tactics, 
 Credit card, 740284, Credit determination, 
 Bank account or service, 738891, Deposits and withdrawals, 
 Bank account or service, 738461, Deposits and withdrawals, 
 Debt collection, 737073, Cont'd attempts collect debt not owed, 
 Debt collection, 737074, Cont'd attempts collect debt not owed, 
 Debt collection, 733554, Improper contact or sharing of info, 
 Consumer loan, 731867, Problems when you are unable to pay, 
 Debt collection, 732473, Cont'd attempts collect debt not owed, 
 Money transfers, 732501, Money was not available when promised, 
 Credit card, 732150, Billing disputes, 
 Consumer loan, 728275, Problems when you are unable to pay, 
 Debt collection, 728336, Cont'd attempts collect debt not owed, 
 Credit reporting, 722199, Incorrect information on credit report, 
 Credit reporting, 722200, Incorrect information on credit report, 
 Student loan, 724639, Can't repay my loan, 
 Consumer loan, 723249, Problems when you are unable to pay, 
 Student loan, 723423, Dealing with my lender or servicer, 
 Credit reporting, 725033, Incorrect information on credit report, 
 Debt collection, 717332, Cont'd attempts collect debt not owed, 
 Credit reporting, 716357, Incorrect information on credit report, 
 Credit reporting, 714007, Credit reporting company's investigation, 
 Credit reporting, 714005, Credit reporting company's investigation, 
 Credit reporting, 714006, Credit reporting company's investigation, 
 Credit reporting, 714004, Credit reporting company's investigation, 
 Credit card, 715612, Other fee, 
 Debt collection, 714720, False statements or representation, 
 Debt collection, 714719, False statements or representation, 
 Credit reporting, 716597, Incorrect information on credit report, 
 Debt collection, 713522, False statements or representation, 
 Debt collection, 713521, False statements or representation, 
 Credit card, 717523, Billing disputes, 
 Money transfers, 709036, Fraud or scam, 
 Credit card, 706767, Credit card protection / Debt protection, 
 Credit card, 706768, Credit card protection / Debt protection, 
 Debt collection, 706766, Taking/threatening an illegal action, 
 Credit reporting, 704743, Incorrect information on credit report, 
 Credit reporting, 704672, Incorrect information on credit report, 
 Student loan, 704096, Can't repay my loan, 
 Student loan, 705212, Dealing with my lender or servicer, 
 Debt collection, 701423, Cont'd attempts collect debt not owed, 
 Credit reporting, 701763, Unable to get credit report/credit score, 
 Credit card, 700489, Advertising and marketing, 
 Credit reporting, 707936, Improper use of my credit report, 
 Credit reporting, 699644, Unable to get credit report/credit score, 
 Consumer loan, 699708, Managing the loan or lease, 
 Credit card, 700167, Billing disputes, 
 Debt collection, 697828, Communication tactics, 
 Credit reporting, 698242, Incorrect information on credit report, 
 Debt collection, 693095, Communication tactics, 
 Bank account or service, 691484, Deposits and withdrawals, 
 Bank account or service, 691945, Deposits and withdrawals, 
 Student loan, 690974, Dealing with my lender or servicer, 
 Credit card, 689285, Credit card protection / Debt protection, 
 Student loan, 685997, Dealing with my lender or servicer, 
 Bank account or service, 687582, Deposits and withdrawals, 
 Credit reporting, 689749, Incorrect information on credit report, 
 Debt collection, 685827, Communication tactics, 
 Debt collection, 685828, Communication tactics, 
 Credit reporting, 681048, Incorrect information on credit report, 
 Credit card, 680044, Other fee, 
 Credit reporting, 680206, Incorrect information on credit report, 
 Debt collection, 680472, Cont'd attempts collect debt not owed, 
 Debt collection, 679640, Cont'd attempts collect debt not owed, 
 Debt collection, 679641, Cont'd attempts collect debt not owed, 
 Money transfers, 676285, Money was not available when promised, 
 Bank account or service, 675673, Using a debit or ATM card, 
 Student loan, 675959, Dealing with my lender or servicer, 
 Credit card, 673059, Rewards, 
 Student loan, 672462, Dealing with my lender or servicer, 
 Credit reporting, 671493, Incorrect information on credit report, 
 Bank account or service, 672012, Deposits and withdrawals, 
 Credit card, 670986, Unsolicited issuance of credit card, 
 Bank account or service, 665376, Using a debit or ATM card, 
 Student loan, 662831, Dealing with my lender or servicer, 
 Credit reporting, 664395, Unable to get credit report/credit score, 
 Credit card, 664182, Billing disputes, 
 Credit card, 663066, Other fee, 
 Credit reporting, 661159, Incorrect information on credit report, 
 Debt collection, 659812, Improper contact or sharing of info, 
 Consumer loan, 660636, Problems when you are unable to pay, 
 Bank account or service, 656072, Deposits and withdrawals, 
 Credit card, 654933, Identity theft / Fraud / Embezzlement, 
 Debt collection, 655417, False statements or representation, 
 Credit reporting, 654455, Incorrect information on credit report, 
 Student loan, 654892, Dealing with my lender or servicer, 
 Debt collection, 654130, Cont'd attempts collect debt not owed, 
 Credit reporting, 652003, Incorrect information on credit report, 
 Money transfers, 652300, Wrong amount charged or received, 
 Credit reporting, 650901, Unable to get credit report/credit score, 
 Credit card, 650990, Application processing delay, 
 Credit card, 651201, Advertising and marketing, 
 Mortgage, 649685, Settlement process and costs, 
 Credit reporting, 646133, Unable to get credit report/credit score, 
 Credit reporting, 646134, Unable to get credit report/credit score, 
 Debt collection, 645661, Cont'd attempts collect debt not owed, 
 Credit reporting, 646135, Unable to get credit report/credit score, 
 Credit card, 644622, Identity theft / Fraud / Embezzlement, 
 Debt collection, 641422, Disclosure verification of debt, 
 Credit card, 641124, Payoff process, 
 Debt collection, 637383, Disclosure verification of debt, 
 Credit reporting, 636491, Incorrect information on credit report, 
 Credit reporting, 631565, Incorrect information on credit report, 
 Debt collection, 630261, Communication tactics, 
 Consumer loan, 629337, Problems when you are unable to pay, 
 Debt collection, 627817, Cont'd attempts collect debt not owed, 
 Debt collection, 625428, Disclosure verification of debt, 
 Debt collection, 625427, Disclosure verification of debt, 
 Credit card, 625419, Arbitration, 
 Debt collection, 625424, Disclosure verification of debt, 
 Debt collection, 624544, Cont'd attempts collect debt not owed, 
 Credit card, 625125, Rewards, 
 Mortgage, 623034, Other, 
 Debt collection, 623370, Communication tactics, 
 Credit reporting, 621691, Incorrect information on credit report, 
 Debt collection, 620664, Cont'd attempts collect debt not owed, 
 Bank account or service, 619095, Deposits and withdrawals, 
 Debt collection, 620322, Improper contact or sharing of info, 
 Credit reporting, 615963, Incorrect information on credit report, 
 Debt collection, 616143, Communication tactics, 
 Credit card, 615336, Rewards, 
 Credit reporting, 615421, Credit monitoring or identity protection, 
 Debt collection, 615700, False statements or representation, 
 Debt collection, 615699, Cont'd attempts collect debt not owed, 
 Consumer loan, 613478, Managing the loan or lease, 
 Debt collection, 608812, Cont'd attempts collect debt not owed, 
 Student loan, 607824, Repaying your loan, 
 Debt collection, 603203, Cont'd attempts collect debt not owed, 
 Payday loan, 603454, Applied for loan/did not receive money, 
 Credit card, 602950, Credit determination, 
 Consumer loan, 601593, Managing the loan or lease, 
 Consumer loan, 599827, Taking out the loan or lease, 
 Consumer loan, 596769, Taking out the loan or lease, 
 Debt collection, 597060, Cont'd attempts collect debt not owed, 
 Debt collection, 597059, Cont'd attempts collect debt not owed, 
 Credit reporting, 595199, Improper use of my credit report, 
 Credit reporting, 595198, Improper use of my credit report, 
 Debt collection, 595295, Communication tactics, 
 Debt collection, 592820, Communication tactics, 
 Debt collection, 592844, Cont'd attempts collect debt not owed, 
 Credit reporting, 591624, Incorrect information on credit report, 
 Debt collection, 589960, Improper contact or sharing of info, 
 Student loan, 591418, Repaying your loan, 
 Credit reporting, 590703, Incorrect information on credit report, 
 Money transfers, 584142, Fraud or scam, 
